1,в,в,ADP,_,_,_,_,_,@saa1999m-words#@saa1999m#0.2#0.471
2,цниимаше,цниимаш,PROPN,_,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#0.471#0.742
3,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#0.742#1.013
4,когда,когда,SCONJ,_,_,_,_,_,@saa1999m-words#@saa1999m#1.013#1.284
5,мы,мы,PRON,_,Case=Nom|Number=Plur|Person=1,_,_,_,@saa1999m-words#@saa1999m#1.284#1.555
6,были,быть,AUX,_,Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@saa1999m-words#@saa1999m#1.555#1.826
7,на,на,ADP,_,_,_,_,_,@saa1999m-words#@saa1999m#1.826#2.097
8,практике,практика,NOUN,_,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#2.097#2.368
9,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#2.368#2.639
10,там,там,ADV,_,Degree=Pos,_,_,_,@saa1999m-words#@saa1999m#2.639#2.91
11,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#2.91#3.181
12,в,в,ADP,_,_,_,_,_,@saa1999m-words#@saa1999m#3.181#3.452
13,столовой,столовая,NOUN,_,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#3.452#3.723
14,был,быть,VERB,_,Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@saa1999m-words#@saa1999m#3.723#3.994
15,банкомат,банкомат,NOUN,_,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#3.994#4.265
16,сбера,сбер,PROPN,_,Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#4.265#4.536
17,который,который,PRON,_,Case=Acc,_,_,_,@saa1999m-words#@saa1999m#4.536#4.807
18,не,не,PART,_,_,_,_,_,@saa1999m-words#@saa1999m#4.807#5.078
19,работал,работать,VERB,_,Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@saa1999m-words#@saa1999m#5.078#5.35
20,и,и,CCONJ,_,_,_,_,_,@saa1999m-words#@saa1999m#6.16#6.44
21,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#6.44#6.72
22,банкомат,банкомат,NOUN,_,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#6.72#7.0
23,какой-то,какой-то,DET,_,Case=Nom|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#7.0#7.28
24,их,их,PRON,_,Case=Gen|Number=Plur|Person=3,_,_,_,@saa1999m-words#@saa1999m#7.28#7.56
25,местный,местный,ADJ,_,Case=Nom|Degree=Pos|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#7.56#7.84
26,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#7.84#8.12
27,который,который,PRON,_,Case=Nom,_,_,_,@saa1999m-words#@saa1999m#8.12#8.4
28,брал,брать,VERB,_,Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@saa1999m-words#@saa1999m#8.4#8.68
